"DATE","interval_vector_char","interval_edge_diff","GPSDistanceMeter","ESU_start","ESU_end","nb_pings_by_interval","Time_start","Time_end","Lat_start","Lat_end","Lon_start","Lon_end","Depth_start","Depth_end","Depth_std","Rugosity","Sloap","Time_mean","Lat_mean","Lon_mean","Depth_mean","SaFish_70","SaFish_200","SaNoFish_70","SaNoFish_200","FAROFA"
"2019-04-20","1488500-1489000",0.114028907380998,1488999.88597109,846155,848389,2235,737535.636532242,737535.638799536,-3.85167700383109,-3.85060505216493,-32.4517913087947,-32.4550826065162,29.469,35.185,1.57145400515173,0.541166367748763,0.0114377598422091,737535.637668087,-3.85118440212971,-32.4534507356439,32.6849631228901,30.29769,14.01832,95.55909,25.73051,3
"2019-04-20","1489000-1489500",0.168219553539529,1489499.83178045,848390,850483,2094,737535.638800557,737535.641047077,-3.85060447271111,-3.84948186602806,-32.4550839369759,-32.4584118614072,35.185,47.212,2.96334039040561,0.553391413362295,0.0240643682531354,737535.639853715,-3.85007238351876,-32.4566565353214,40.0560785026612,4.588646,1.356924,244.421,40.65557,3
"2019-04-20","1489500-1490000",0.250187749741599,1489999.74981225,850484,851865,1382,737535.641048782,737535.643408266,-3.84948030021824,-3.84807598840211,-32.4584137119097,-32.4618327218396,47.249,56.493,2.74846087599479,0.617261226072207,0.0185010047231484,737535.642227601,-3.84878375819222,-32.4601214072984,52.7506069105807,4.629308,7.571543,225.7357,40.88537,3
"2019-04-20","1490000-1490500",0.152677083387971,1490499.84732292,851866,853243,1378,737535.643409972,737535.645774488,-3.84807469112067,-3.84725660001117,-32.461834739833,-32.4653751764979,56.455,58.2,0.657616822307779,0.617351645193776,0.00349118085514759,737535.644592736,-3.84764570683761,-32.4635984312356,57.4165595065312,0.1151675,0.05263415,242.2882,52.21355,3
"2019-04-20","1490500-1491000",0.147231935756281,1490999.85276806,853244,854695,1452,737535.645776193,737535.648258309,-3.84725588036965,-3.84607281394384,-32.4653769245946,-32.4688375343106,58.2,66.589,2.47082276839379,0.613726279431195,0.0167848680703102,737535.64701791,-3.84669059441151,-32.4671490619528,60.4007625111529,24.55628,16.65306,596.3328,88.9042,3
"2019-04-20","1491000-1491500",0.854638829361647,1491499.14536117,854696,855969,1274,737535.648260015,737535.650897814,-3.84607147920192,-3.84495958083979,-32.4688394622711,-32.4723405691056,66.627,75.016,1.6537789035431,0.633239037589853,0.01681054666353,737535.649371887,-3.84553794820567,-32.4703018217341,70.2710723017135,1.794735,0.3360159,375.5999,66.27206,3
"2019-04-20","1491500-1492000",0.215692104771733,1491999.7843079,855970,856272,303,737535.65090415,737535.654086279,-3.84496110004748,-3.84347897553464,-32.4723490845655,-32.4763937643017,75.832,399.9951804,109.794406126954,0.750319657568537,0.648743966515952,737535.652372862,-3.84428696681369,-32.4742365927427,228.038509111338,94.47523,96.11115,1122.817,451.5227,3
"2019-04-20","1492000-1492500",1.98615406453609,1492498.01384594,856273,856542,270,737535.654097988,737535.657327019,-3.8434790642444,-3.84217550429954,-32.4764049619933,-32.4804679429297,399.9951804,399.9951804,0.957842728160834,0.729626469553157,0,737535.655763261,-3.84280792285078,-32.4784498386921,399.883185259092,0.7695877,0.8821357,445.7965,259.5676,3
"2019-04-20","1492500-1493000",1.06635107775219,1492998.93364892,856543,856805,263,737535.657338588,737535.66041731,-3.84216362355996,-3.84526895019621,-32.4804850513147,-32.4801964566714,399.9951804,399.9951804,8.5427693030398e-13,0.728623585438189,0,737535.658885321,-3.84325118812276,-32.4807489210188,399.995180400001,1.123536,0.5594158,378.3711,192.774,3
"2019-04-20","1493000-1493500",0.453598168678582,1493499.54640183,856806,857064,259,737535.660428881,737535.663389691,-3.84528391805543,-3.84946443774687,-32.48019037068,-32.4788435216628,399.9951804,86.56,87.9600215068252,0.755381803911815,-0.628360022399567,737535.661921653,-3.84736980556284,-32.4794955701457,257.619566013154,0.6747913,0.1580966,640.4083,304.0127,3
"2019-04-20","1493500-1494000",0.651304549071938,1493999.34869545,857065,858279,1215,737535.663396073,737535.665706456,-3.84947076296808,-3.85262988379896,-32.4788385593923,-32.4775733663962,86.449,66.33,3.62002298375324,0.648856067006667,-0.0403260627435645,737535.664653292,-3.85121423059751,-32.4781781387007,72.0903465020578,266.3335,205.9006,266.8551,66.2237,3
"2019-04-20","1494000-1494500",0.14799694926478,1494499.85200305,858280,859720,1441,737535.665708139,737535.668173481,-3.85263640300524,-3.85569171187423,-32.4775706197748,-32.4761215673816,66.292,55.713,3.40608555038886,0.613697445139354,-0.0211700211071466,737535.666940634,-3.85409472734037,-32.476698563983,58.90337999841,172.699,87.59842,346.5991,72.66516,3
"2019-04-20","1494500-1495000",0.0599562828429043,1494999.94004372,859721,861300,1580,737535.668175186,737535.670881874,-3.85568798603154,-3.85909599584585,-32.4761200955208,-32.4747271092349,55.75,52.001,0.852143715516253,0.604853045563965,-0.00750336899747431,737535.669528018,-3.85736655102359,-32.4754144294285,54.4901689873419,69.99765,31.13546,454.5704,71.48273,3
"2019-04-20","1495000-1495500",0.308357144938782,1495499.69164286,861301,862842,1542,737535.67088358,737535.673511074,-3.85909973426009,-3.86246626857547,-32.4747268919907,-32.4733753362636,51.927,40.531,3.56679706817853,0.608683202170889,-0.0228223655284086,737535.672197928,-3.86080211600205,-32.4741065534015,45.4557401956081,144.5597,92.78095,497.2639,69.24242,3
"2019-04-20","1495500-1496000",0.0160359193105251,1495999.98396408,862843,864248,1406,737535.67351278,737535.675899784,-3.86246927489813,-3.86480761000018,-32.4733738331022,-32.4710898065535,40.456,34.109,1.73445078125663,0.620816460417007,-0.0126960738475521,737535.674706302,-3.86367703704765,-32.4722508463596,36.6727939955381,183.513,54.59238,156.1938,37.94904,3
"2019-04-20","1496000-1496500",0.29776094853878,1496499.70223905,864249,867648,3400,737535.675901466,737535.680972715,-3.86480920988014,-3.86535298366371,-32.4710884975608,-32.4716547401928,34.109,33.775,0.339646948831154,0.480902790391378,-0.000668684235922589,737535.678686889,-3.86522989534778,-32.4711145584282,33.5172696000434,170.0422,69.47756,127.5853,34.10188,3
"2019-04-20","1496500-1497000",0.0201265171635896,1496999.97987348,867649,872637,4989,737535.680973749,737535.686046302,-3.8653518076899,-3.86544213257659,-32.4716580936424,-32.473010216707,33.775,34.51277379375,0.43198307268805,0.387240813078486,0.00147589340870263,737535.68350237,-3.86534344134517,-32.4723270249515,34.3351899664832,9.344858,4.542859,122.3084,31.06133,3
"2019-04-20","1497000-1497500",0.055796911008656,1497499.94420309,872638,877085,4447,737535.686047346,737535.690565862,-3.86544194540083,-3.86543165711705,-32.4730105910585,-32.4737490285913,34.51277379375,35.445,0.427157806673679,0.424284970322953,0.00186475889318691,737535.688306051,-3.86553272796753,-32.4736106733485,35.2021229730348,439.131,227.3641,152.2869,37.84186,3
